Model,Temp_Train_RMSE,Temp_Train_MAE,Temp_Train_R2,Temp_Test_RMSE,Temp_Test_MAE,Temp_Test_R2,Hum_Train_RMSE,Hum_Train_MAE,Hum_Train_R2,Hum_Test_RMSE,Hum_Test_MAE,Hum_Test_R2
Random Forest,1.1065740800214923,0.7353858913938977,0.9826582172156378,2.376414377782108,1.6754078012203684,0.9414139993838312,5.198586710539412,3.561211651773551,0.9533117052689892,11.206435947461806,8.23099902810937,0.7892321750510188
XGBoost,1.7603144615329571,1.2906585793809284,0.9561152863049414,2.38961908603433,1.7165385157532647,0.9407611163140505,8.626348690342182,6.4028731054417785,0.8714442680670067,11.4379942224875,8.5468765664992,0.7804320065159596
LightGBM,1.8650403621052534,1.3560298125508687,0.9507383192201646,2.3787609996400882,1.7001863258623382,0.941298239212771,9.07418836792848,6.698269539910208,0.8577497598975445,11.253414829863535,8.312338949034379,0.7874613370426299
Linear,2.2782975190514323,1.610065634805765,0.9264887800492735,2.3843917751826273,1.6988726440584505,0.9410200039078216,10.601874940012666,7.675968065085502,0.8058207670187263,11.291706671856142,8.175979029965653,0.7860124713606946
Ridge,2.2785278196956225,1.6096248445885024,0.9264739176032296,2.384524186085843,1.6986119688841173,0.9410134531291466,10.601943710643447,7.674100292659881,0.8058182478658928,11.291904214780873,8.174128642690972,0.7860049840794088
Lasso,2.450940212371326,1.7747186521361367,0.9149257380220266,2.6726113256526167,1.9680661070019874,0.9258995034495334,10.926674615822972,8.26629140650519,0.7937407433425974,11.589954450681736,8.810490048825026,0.774559081211304
